,Code,Type de bâtiment,Type d'installation,Type de chauffage,Type de régulation,Type d'émetteur,Inertie,Equipement d'intermittence,Comptage individuelle,I0
81,TV025_082,Immeuble Collectif ou Appartement,Chauffage Individuelle,Central,Avec régulation pièce par pièce,Planchers chauffant,,Par pièce avec minimum de température,,0.91
82,TV025_083,Immeuble Collectif ou Appartement,Chauffage Individuelle,Central,Sans régulation pièce par pièce,Air soufflé,,Absent,,0.95
83,TV025_084,Immeuble Collectif ou Appartement,Chauffage Individuelle,Central,Sans régulation pièce par pièce,Air soufflé,,Central sans minimum de température,,0.94
84,TV025_085,Immeuble Collectif ou Appartement,Chauffage Individuelle,Central,Sans régulation pièce par pièce,Air soufflé,,Central avec minimum de température,,0.93
85,TV025_086,Immeuble Collectif ou Appartement,Chauffage Individuelle,Central,Sans régulation pièce par pièce,Radiateurs,,Absent,,0.96
86,TV025_087,Immeuble Collectif ou Appartement,Chauffage Individuelle,Central,Sans régulation pièce par pièce,Radiateurs,,Central sans minimum de température,,0.95
87,TV025_088,Immeuble Collectif ou Appartement,Chauffage Individuelle,Central,Sans régulation pièce par pièce,Radiateurs,,Central avec minimum de température,,0.94
88,TV025_089,Immeuble Collectif ou Appartement,Chauffage Individuelle,Central,Sans régulation pièce par pièce,Planchers chauffant,,Absent,,0.97
89,TV025_090,Immeuble Collectif ou Appartement,Chauffage Individuelle,Central,Sans régulation pièce par pièce,Planchers chauffant,,Central sans minimum de température,,0.96
90,TV025_091,Immeuble Collectif ou Appartement,Chauffage Individuelle,Central,Sans régulation pièce par pièce,Planchers chauffant,,Central avec minimum de température,,0.95
91,TV025_092,Immeuble Collectif,Chauffage Collectif,Central,Avec régulation pièce par pièce,Air soufflé,,Absent,Absent,1.01
92,TV025_093,Immeuble Collectif,Chauffage Collectif,Central,Avec régulation pièce par pièce,Air soufflé,,Absent,Présent,0.93
93,TV025_094,Immeuble Collectif,Chauffage Collectif,Central,Avec régulation pièce par pièce,Air soufflé,,Central Collectif,Absent,0.99
94,TV025_095,Immeuble Collectif,Chauffage Collectif,Central,Avec régulation pièce par pièce,Air soufflé,,Central Collectif,Présent,0.91
95,TV025_096,Immeuble Collectif,Chauffage Collectif,Central,Avec régulation pièce par pièce,Radiateurs,,Absent,Absent,1.03
96,TV025_097,Immeuble Collectif,Chauffage Collectif,Central,Avec régulation pièce par pièce,Radiateurs,,Absent,Présent,0.95
97,TV025_098,Immeuble Collectif,Chauffage Collectif,Central,Avec régulation pièce par pièce,Radiateurs,,Central Collectif,Absent,1.01
98,TV025_099,Immeuble Collectif,Chauffage Collectif,Central,Avec régulation pièce par pièce,Radiateurs,,Central Collectif,Présent,0.93
99,TV025_100,Immeuble Collectif,Chauffage Collectif,Central,Avec régulation pièce par pièce,Planchers chauffant,,Absent,Absent,1.05
100,TV025_101,Immeuble Collectif,Chauffage Collectif,Central,Avec régulation pièce par pièce,Planchers chauffant,,Absent,Présent,0.97
101,TV025_102,Immeuble Collectif,Chauffage Collectif,Central,Avec régulation pièce par pièce,Planchers chauffant,,Central Collectif,Absent,1.03
102,TV025_103,Immeuble Collectif,Chauffage Collectif,Central,Avec régulation pièce par pièce,Planchers chauffant,,Central Collectif,Présent,0.95
103,TV025_104,Immeuble Collectif,Chauffage Collectif,Central,Sans régulation pièce par pièce,Air soufflé,,Absent,Absent,1.03
104,TV025_105,Immeuble Collectif,Chauffage Collectif,Central,Sans régulation pièce par pièce,Air soufflé,,Absent,Présent,0.95
105,TV025_106,Immeuble Collectif,Chauffage Collectif,Central,Sans régulation pièce par pièce,Air soufflé,,Central Collectif,Absent,1.01
106,TV025_107,Immeuble Collectif,Chauffage Collectif,Central,Sans régulation pièce par pièce,Air soufflé,,Central Collectif,Présent,0.93
107,TV025_108,Immeuble Collectif,Chauffage Collectif,Central,Sans régulation pièce par pièce,Radiateurs,,Absent,Absent,1.05
108,TV025_109,Immeuble Collectif,Chauffage Collectif,Central,Sans régulation pièce par pièce,Radiateurs,,Absent,Présent,0.97
109,TV025_110,Immeuble Collectif,Chauffage Collectif,Central,Sans régulation pièce par pièce,Radiateurs,,Central Collectif,Absent,1.03
110,TV025_111,Immeuble Collectif,Chauffage Collectif,Central,Sans régulation pièce par pièce,Radiateurs,,Central Collectif,Présent,0.95
111,TV025_112,Immeuble Collectif,Chauffage Collectif,Central,Sans régulation pièce par pièce,Planchers chauffant,,Absent,Absent,1.07
112,TV025_113,Immeuble Collectif,Chauffage Collectif,Central,Sans régulation pièce par pièce,Planchers chauffant,,Absent,Présent,0.99
113,TV025_114,Immeuble Collectif,Chauffage Collectif,Central,Sans régulation pièce par pièce,Planchers chauffant,,Central Collectif,Absent,1.05
114,TV025_115,Immeuble Collectif,Chauffage Collectif,Central,Sans régulation pièce par pièce,Planchers chauffant,,Central Collectif,Présent,0.97
