"id","code","tv013_valeur_pont_thermique_type_liaison_id","tv013_valeur_pont_thermique_isolation_mur_id","tv013_valeur_pont_thermique_isolation_planche_bas_id","largeur_dormant","tv013_valeur_pont_thermique_type_pose_id","tv013_valeur_pont_thermique_retour_isolation_id","k","est_efface"
"86","TV013_086","1","3","NULL","10","3","2","0.19","0"
"87","TV013_087","1","3","NULL","5","2","2","0.00","0"
"88","TV013_088","1","3","NULL","10","2","2","0.00","0"
"89","TV013_089","1","1","NULL","5","1","1","0.00","0"
"90","TV013_090","1","1","NULL","10","1","1","0.00","0"
"91","TV013_091","1","1","NULL","5","3","1","0.19","0"
"92","TV013_092","1","1","NULL","10","3","1","0.15","0"
"93","TV013_093","1","1","NULL","5","2","1","0.25","0"
"94","TV013_094","1","1","NULL","10","2","1","0.20","0"
"95","TV013_095","1","1","NULL","5","1","2","0.00","0"
"96","TV013_096","1","1","NULL","10","1","2","0.00","0"
"97","TV013_097","1","1","NULL","5","3","2","0.45","0"
"98","TV013_098","1","1","NULL","10","3","2","0.40","0"
"99","TV013_099","1","1","NULL","5","2","2","0.90","0"
"100","TV013_100","1","1","NULL","10","2","2","0.80","0"
"101","TV013_101","1","6","NULL","NULL","NULL","NULL","0.20","0"
"102","TV013_102","1","4","NULL","5","1","1","0.00","0"
"103","TV013_103","1","4","NULL","10","1","1","0.00","0"
"104","TV013_104","1","4","NULL","5","3","1","0.16","0"
"105","TV013_105","1","4","NULL","10","3","1","0.13","0"
"106","TV013_106","1","4","NULL","5","2","1","0.00","0"
"107","TV013_107","1","4","NULL","10","2","1","0.00","0"
"108","TV013_108","1","4","NULL","5","1","2","0.00","0"
"109","TV013_109","1","4","NULL","10","1","2","0.00","0"
"110","TV013_110","1","4","NULL","5","3","2","0.31","0"
"111","TV013_111","1","4","NULL","10","3","2","0.19","0"
"112","TV013_112","1","4","NULL","5","2","2","0.00","0"
"113","TV013_113","1","4","NULL","10","2","2","0.00","0"
"114","TV013_114","1","5","NULL","5","1","1","0.20","0"
"115","TV013_115","1","5","NULL","10","1","1","0.18","0"
"116","TV013_116","1","5","NULL","5","3","1","0.16","0"
"117","TV013_117","1","5","NULL","10","3","1","0.13","0"
"118","TV013_118","1","5","NULL","5","2","1","0.00","0"
"119","TV013_119","1","5","NULL","10","2","1","0.00","0"
"120","TV013_120","1","5","NULL","5","1","2","0.20","0"
"121","TV013_121","1","5","NULL","10","1","2","0.20","0"
"122","TV013_122","1","5","NULL","5","3","2","0.20","0"
"123","TV013_123","1","5","NULL","10","3","2","0.19","0"
