,code,aiu_aue,aiu_aue_min,aiu_aue_max,uv_ue,aue_isole,aiu_isole,valeur,est_efface
45,TV001_046,"3,50 <  ? 4,00",3.5,4.0,3.0,0.0,1.0,0.8,0
46,TV001_047,"4,00 <  ? 6,00",4.0,6.0,3.0,0.0,1.0,0.8,0
47,TV001_048,"6,00 <  ? 8,00",6.0,8.0,3.0,0.0,1.0,0.7,0
48,TV001_049,"8,00 <  ? 10,00",8.0,10.0,3.0,0.0,1.0,0.65,0
49,TV001_050,"10,00 <  ? 25,00",10.0,25.0,3.0,0.0,1.0,0.6,0
50,TV001_051,"25,00 <  ? 50",25.0,50.0,3.0,0.0,1.0,0.5,0
51,TV001_052,"50,00 <",50.0,,3.0,0.0,1.0,0.35,0
52,TV001_053,"? 0,25",,0.25,9.0,0.0,1.0,0.2,0
53,TV001_054,"0,25 <  ? 0,50",0.25,0.5,9.0,0.0,1.0,1.0,0
54,TV001_055,"0,50 <  ? 0,75",0.5,0.75,9.0,0.0,1.0,1.0,0
55,TV001_056,"0,75 <  ? 1,00",0.75,1.0,9.0,0.0,1.0,0.95,0
56,TV001_057,"1,00 <  ? 1,25",1.0,1.25,9.0,0.0,1.0,0.95,0
57,TV001_058,"1,25 <  ? 2,00",1.25,2.0,9.0,0.0,1.0,0.95,0
58,TV001_059,"2,00 <  ? 2,50",2.0,2.5,9.0,0.0,1.0,0.9,0
59,TV001_060,"2,50 <  ? 3,00",2.5,3.0,9.0,0.0,1.0,0.9,0
60,TV001_061,"3,00 <  ? 3,50",3.0,3.5,9.0,0.0,1.0,0.9,0
61,TV001_062,"3,50 <  ? 4,00",3.5,4.0,9.0,0.0,1.0,0.9,0
62,TV001_063,"4,00 <  ? 6,00",4.0,6.0,9.0,0.0,1.0,0.85,0
63,TV001_064,"6,00 <  ? 8,00",6.0,8.0,9.0,0.0,1.0,0.8,0
64,TV001_065,"8,00 <  ? 10,00",8.0,10.0,9.0,0.0,1.0,0.75,0
65,TV001_066,"10,00 <  ? 25,00",10.0,25.0,9.0,0.0,1.0,0.7,0
66,TV001_067,"25,00 <  ? 50",25.0,50.0,9.0,0.0,1.0,0.5,0
67,TV001_068,"50,00 <",50.0,,9.0,0.0,1.0,0.3,0
68,TV001_069,"? 0,25",,0.25,0.0,0.0,0.0,0.8,0
69,TV001_070,"0,25 <  ? 0,50",0.25,0.5,0.0,0.0,0.0,0.65,0
70,TV001_071,"0,50 <  ? 0,75",0.5,0.75,0.0,0.0,0.0,0.55,0
71,TV001_072,"0,75 <  ? 1,00",0.75,1.0,0.0,0.0,0.0,0.5,0
72,TV001_073,"1,00 <  ? 1,25",1.0,1.25,0.0,0.0,0.0,0.45,0
73,TV001_074,"1,25 <  ? 2,00",1.25,2.0,0.0,0.0,0.0,0.35,0
74,TV001_075,"2,00 <  ? 2,50",2.0,2.5,0.0,0.0,0.0,0.3,0
75,TV001_076,"2,50 <  ? 3,00",2.5,3.0,0.0,0.0,0.0,0.25,0
76,TV001_077,"3,00 <  ? 3,50",3.0,3.5,0.0,0.0,0.0,0.2,0
77,TV001_078,"3,50 <  ? 4,00",3.5,4.0,0.0,0.0,0.0,0.2,0
78,TV001_079,"4,00 <  ? 6,00",4.0,6.0,0.0,0.0,0.0,0.15,0
79,TV001_080,"6,00 <  ? 8,00",6.0,8.0,0.0,0.0,0.0,0.1,0
80,TV001_081,"8,00 <  ? 10,00",8.0,10.0,0.0,0.0,0.0,0.1,0
81,TV001_082,"10,00 <  ? 25,00",10.0,25.0,0.0,0.0,0.0,0.05,0
82,TV001_083,"25,00 <  ? 50",25.0,50.0,0.0,0.0,0.0,0.05,0
83,TV001_084,"50,00 <",50.0,,0.0,0.0,0.0,0.0,0
84,TV001_085,"? 0,25",,0.25,0.3,0.0,0.0,0.85,0
85,TV001_086,"0,25 <  ? 0,50",0.25,0.5,0.3,0.0,0.0,0.75,0
86,TV001_087,"0,50 <  ? 0,75",0.5,0.75,0.3,0.0,0.0,0.65,0
87,TV001_088,"0,75 <  ? 1,00",0.75,1.0,0.3,0.0,0.0,0.55,0
88,TV001_089,"1,00 <  ? 1,25",1.0,1.25,0.3,0.0,0.0,0.5,0
89,TV001_090,"1,25 <  ? 2,00",1.25,2.0,0.3,0.0,0.0,0.4,0
90,TV001_091,"2,00 <  ? 2,50",2.0,2.5,0.3,0.0,0.0,0.35,0
91,TV001_092,"2,50 <  ? 3,00",2.5,3.0,0.3,0.0,0.0,0.3,0
92,TV001_093,"3,00 <  ? 3,50",3.0,3.5,0.3,0.0,0.0,0.3,0
93,TV001_094,"3,50 <  ? 4,00",3.5,4.0,0.3,0.0,0.0,0.25,0
94,TV001_095,"4,00 <  ? 6,00",4.0,6.0,0.3,0.0,0.0,0.2,0
95,TV001_096,"6,00 <  ? 8,00",6.0,8.0,0.3,0.0,0.0,0.15,0
96,TV001_097,"8,00 <  ? 10,00",8.0,10.0,0.3,0.0,0.0,0.1,0
