,Code,Département,Nom du Réseau,Localisation,Type de production,CO2,Date d'effectivité
331,TV046_332,92,Réseau de Châtillon-sous-Bagneux,Châtillon-sous-Bagneux,C,0.248,2013-01-01
332,TV046_333,92,Réseau du Plessis-Robinson (HLM),Le Plessis-Robinson,C,0.207,2013-01-01
333,TV046_334,92,ZAC du Front de Seine,Levallois-Perret,C,0.273,2013-01-01
334,TV046_335,92,ZAC île Séguin Rives de Seine,Boulogne-Billancourt,C,0.243,2013-01-01
335,TV046_336,92,ZAC île Séguin Rives de Seine,Boulogne-Billancourt,F,0.025,2013-01-01
336,TV046_337,92,Le Point du Jour,Boulogne-Billancourt,C,0.195,2013-01-01
337,TV046_338,92,Réseau du Plessis-Robinson-ZIPEC,Le Plessis-Robinson,C,0.28,2013-01-01
338,TV046_339,92,Chauffage urbain de Suresnes,Suresnes,C,0.235,2013-01-01
339,TV046_340,92,Réseau Soclic,Courbevoie,C,0.273,2013-01-01
340,TV046_341,92,Réseau de La Défense-Enertherm,Courbevoie,C,0.271,2013-01-01
341,TV046_342,92,Réseau de La Défense-Enertherm,Courbevoie,F,0.011,2013-01-01
342,TV046_343,92,Résidence Villeneuve,Villeneuve-la-Garenne,C,0.191,2013-01-01
343,TV046_344,92,Réseau Ciceo,Puteaux,C,0.234,2013-01-01
344,TV046_345,92,Réseau Suc,Issy-les-Moulineaux,F,0.014,2013-01-01
345,TV046_346,93,Réseau de Saint-Denis,Saint-Denis,C,0.224,2013-01-01
346,TV046_347,93,ZUP de Bobigny,Bobigny,C,0.225,2013-01-01
347,TV046_348,93,ZAC de Sevran,Sevran,C,0.236,2013-01-01
348,TV046_349,93,ZUP des Fauvettes,Neuilly-sur-Marne,C,0.26,2013-01-01
349,TV046_350,93,Réseau de Villepinte,Villepinte,C,0.226,2013-01-01
350,TV046_351,93,Pariféric,Aubervilliers,C,0.208,2013-01-01
351,TV046_352,93,Rougemont Perrin Chanteloup,Sevran,C,0.194,2013-01-01
352,TV046_353,93,Réseau ADP Le Bouget,Le Bourget,C,0.262,2013-01-01
353,TV046_354,93,Le Chêne Pointu,Clichy-sous-Bois,C,0.127,2013-01-01
354,TV046_355,93,Le Gros Saule,Aulnay-sous-Bois,C,0.2,2013-01-01
355,TV046_356,93,La Courneuve Quartier Nord,La Courneuve,C,0.08,2013-01-01
356,TV046_357,93,Tremblay-en-France,Tremblay-en-France,C,0.243,2013-01-01
357,TV046_358,93,Réseau du Blanc-Mesnil,Le Blanc-Mesnil,C,0.205,2013-01-01
358,TV046_359,93,Garonor,Aulnay-sous-bois,C,0.326,2013-01-01
359,TV046_360,93,Aulnay 3000-Rose des Vents,Aulnay-sous-bois,C,0.2,2013-01-01
360,TV046_361,93,Stade Energies Sésas,Saint-Denis,C,0.243,2013-01-01
361,TV046_362,93,Stade Energies,Saint-Denis,F,0.012,2013-01-01
362,TV046_363,93,La Courneuve Quartier Sud,La Courneuve,C,0.168,2013-01-01
363,TV046_364,93,Résidence Les Lilas,Les Lilas,C,0.206,2013-01-01
364,TV046_365,94,Réseau de Créteil-Scuc,Créteil,C,0.143,2013-01-01
365,TV046_366,94,Réseau de Vitry-sur-Seine,Vitry-sur-Seine,C,0.216,2013-01-01
366,TV046_367,94,Fontenay-sous-Bois,Fontenay-sous-Bois,C,0.217,2013-01-01
367,TV046_368,94,Fresnes Sud,Fresnes,C,0.205,2013-01-01
368,TV046_369,94,Réseau de Sucy-en-Brie,Sucy-en-Brie,C,0.025,2013-01-01
369,TV046_370,94,Réseau de Cachan,Cachan,C,0.056,2013-01-01
370,TV046_371,94,Réseau de Champigny-sur-Marne,Champigny-sur-Marne,C,0.085,2013-01-01
371,TV046_372,94,Réseau de Maisons-Alfort,Maisons-Alfort,C,0.1,2013-01-01
372,TV046_373,94,Réseau de Thiais,Thiais,C,0.047,2013-01-01
373,TV046_374,94,Réseau de Bonneuil-sur-Marne (UIOM),Bonneuil-sur-Marne,C,0.084,2013-01-01
374,TV046_375,94,Réseau de Chevilly-Larue et L’Hay ¨-les-Roses,L’Hay ¨-les-Roses,C,0.095,2013-01-01
375,TV046_376,94,Quartier Nord,Fresnes,C,0.157,2013-01-01
376,TV046_377,94,Réseau d’Orly,Orly,C,0.056,2013-01-01
377,TV046_378,94,Réseau d’Alfortville-Smag,Alfortville,C,0.057,2013-01-01
378,TV046_379,94,Réseau d’Ivry,Ivry,C,0.235,2013-01-01
379,TV046_380,94,Réseau de Villeneuve-Saint-Georges,Villeneuve-Saint-Georges,C,0.075,2013-01-01
380,TV046_381,94,Réseau ADP Orly,Orly,C,0.201,2013-01-01
381,TV046_382,94,Réseau ADP Orly,Orly,F,0.009,2013-01-01
382,TV046_383,95,Réseau de la ZAC Croix Rouge,Taverny,C,0.24,2013-01-01
383,TV046_384,95,Grand Ensemble Sarcelles-Locheres,Sarcelles,C,0.164,2013-01-01
384,TV046_385,95,Réseau de Cergy-Pontoise,Cergy-Pontoise,C,0.201,2013-01-01
385,TV046_386,95,Van Gogh,Garges-lès-Gonesse,C,0.187,2013-01-01
386,TV046_387,95,ZUP de Sannois-Ermont-Franconville,Franconville,C,0.231,2013-01-01
387,TV046_388,95,Réseau d’Argenteuil,Argenteuil,C,0.04,2013-01-01
388,TV046_389,95,Réseaux ADP Roissy,Roissy,C,0.211,2013-01-01
389,TV046_390,95,Réseau ADP Roissy,Roissy,F,0.012,2013-01-01
390,TV046_391,95,ZUP de l’Epine Guyon,Franconville,C,0.249,2013-01-01
391,TV046_392,95,Réseau de Villiers-le-Bel,Villiers-le-Bel,C,0.236,2013-01-01
392,TV046_393,95,Réseau de Villiers-le-Bel-Gonesse,Villiers-le-Bel,C,0.142,2013-01-01
393,TV046_394,95,Réseau de Pontoise,Pontoise,C,0.208,2013-01-01
394,TV046_395,95,ZAC Montedour,Franconville,C,0.249,2013-01-01
